filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
282408.txt,147,81,75,48,72,33,0.5925925925925926,0.5102040816326531,0.5510204081632653,6.680767400622813,0.8805747955226868,0.05510277731949638,0.7240816326530607,0.76,0.7434692172236264,40.762956226145036,43.599132973546844,46.93197278911565
298177.txt,233,128,109,84,124,44,0.65625,0.4678111587982833,0.5493562231759657,8.385558810629355,0.8901111788609283,0.046418377635182785,0.807826086956522,0.8300000000000001,0.8327865951403945,91.54119973632169,79.90921425200565,81.14163090128756
300154.txt,334,169,146,110,188,59,0.650887573964497,0.437125748502994,0.5059880239520959,9.247268572281449,0.8827696180703632,0.04645093454167074,0.798596491228071,0.7933333333333333,0.8349047435479307,77.63370082144401,81.24955784819454,86.24850299401197
320220.txt,541,198,333,156,208,42,0.7878787878787878,0.6155268022181146,0.3659889094269871,8.512684891768485,0.840285192577193,0.05843515558200281,0.77150406504065,0.7679999999999999,0.7949714809361231,62.74148719497556,63.60872974486742,62.953789279112755
323458.txt,644,251,311,182,333,69,0.7250996015936255,0.4829192546583851,0.38975155279503104,9.890785598300713,0.8543151394529926,0.05186571025897275,0.7730084033613425,0.765,0.8300072336056047,73.78708859263568,67.84018506801645,71.86180124223603
323625.txt,290,161,144,112,146,49,0.6956521739130435,0.496551724137931,0.5551724137931034,9.454245534186725,0.8962100675499356,0.042149941860992135,0.8010788381742746,0.788,0.8418894138040284,70.18777943368107,68.38563622170179,79.49310344827586
326489.txt,343,176,237,147,106,29,0.8352272727272727,0.6909620991253644,0.5131195335276968,9.503106749946284,0.8857010514331443,0.04508311192112398,0.8251020408163272,0.7966666666666665,0.8341850067184083,94.64379575276783,98.20279359780048,93.85422740524781
332974.txt,333,169,169,115,164,54,0.6804733727810651,0.5075075075075075,0.5075075075075075,9.261142951535128,0.8832253553993552,0.04629424232634961,0.815633802816902,0.8166666666666668,0.8350091598720669,88.97619047619048,86.96022020810156,88.75975975975976
337080.txt,259,131,110,78,149,53,0.5954198473282443,0.4247104247104247,0.5057915057915058,8.13994393461572,0.8773345637241273,0.05082892647717624,0.772190476190477,0.756,0.8025310411963097,64.75,63.62602480282274,65.73359073359073
346057.txt,385,218,224,169,161,49,0.7752293577981652,0.5818181818181818,0.5662337662337662,11.110308773340238,0.904464131640146,0.03695119684839127,0.8136309523809532,0.8257142857142857,0.8515869680170708,107.19899480183776,88.07566691409268,116.20779220779221
351348.txt,326,153,148,92,178,61,0.6013071895424836,0.4539877300613497,0.46932515337423314,8.473886267012183,0.8692806507317714,0.05201274623601827,0.7816606498194939,0.7733333333333333,0.8324824960243677,69.67707004249371,67.04664821648217,65.97852760736197
353333.txt,247,127,109,83,138,44,0.6535433070866141,0.44129554655870445,0.5141700404858299,8.080816489792378,0.8792604170326968,0.05046171133490804,0.789797979797979,0.7949999999999999,0.7946983994581994,65.57285286977402,75.1145181476846,68.80971659919028
368836.txt,631,327,364,267,267,60,0.8165137614678899,0.5768621236133122,0.5182250396196514,13.017664458558839,0.898043352423664,0.03641270661671176,0.8296219931271444,0.8216666666666667,0.8639603801830283,129.40134585126657,121.21602178834507,125.52614896988906
369799.txt,263,134,135,95,128,39,0.7089552238805971,0.5133079847908745,0.5095057034220533,8.262793974107979,0.8789849978423315,0.05000711365618621,0.7567289719626167,0.748,0.8065848186076494,68.64497641603708,55.109611141754,63.60076045627376
378559.txt,1258,468,662,378,596,90,0.8076923076923077,0.5262321144674086,0.37201907790143085,13.194882661769661,0.8614583766018398,0.04469545073797727,0.786021505376343,0.7896000000000001,0.8331564191051793,75.51393646647536,79.85748917748919,80.0818759936407
378990.txt,626,266,259,180,367,86,0.6766917293233082,0.41373801916932906,0.4249201277955272,10.63149820079984,0.8670899993018729,0.047526003196041715,0.7745927209705373,0.7933333333333333,0.8269253963441944,68.30261922318226,66.79337226615895,65.9297124600639
383057.txt,424,220,201,153,223,67,0.6954545454545454,0.4740566037735849,0.5188679245283019,10.684144485929906,0.8915479642640818,0.04127785837811065,0.8189333333333334,0.82,0.8428863678914129,96.79861111111111,95.72486516762578,91.77122641509433
390260.txt,558,269,312,201,246,68,0.7472118959107806,0.5591397849462365,0.482078853046595,11.387678054350415,0.8846290055451348,0.042004499361251564,0.8320235756385055,0.8363636363636364,0.8635671705442488,109.28464730290457,99.62931034482759,101.43906810035843
394726.txt,762,334,453,267,309,67,0.7994011976047904,0.594488188976378,0.43832020997375326,12.099543385237048,0.8757064187017702,0.043128217662767705,0.78673211781206,0.7840000000000001,0.8387760989187701,69.41233143542104,78.82709786800189,77.53543307086615
395914.txt,1410,423,954,367,456,56,0.8676122931442081,0.676595744680851,0.3,11.264990013311154,0.8339655874756035,0.05272240723332793,0.8039676708302772,0.8049999999999999,0.8251723647779079,79.8562874746842,81.18237937577686,80.54609929078015
402070.txt,424,240,286,201,138,39,0.8375,0.6745283018867925,0.5660377358490566,11.655430348287169,0.905930643705005,0.035803676164456115,0.8434133333333327,0.8450000000000001,0.8528610172512465,129.74736632972923,116.93978286260352,132.70283018867926
411692.txt,798,340,394,250,404,90,0.7352941176470589,0.49373433583959897,0.42606516290726815,12.035869531881406,0.872321293885405,0.043996753585303035,0.7906809078771668,0.8,0.8476194720248982,75.47045341892417,77.72175418145852,81.51629072681705
414109.txt,1052,427,553,332,499,95,0.7775175644028103,0.5256653992395437,0.405893536121673,13.164973981134727,0.8704216329408279,0.042878124475615044,0.8140977068793639,0.8095238095238095,0.8587811723623013,97.8895014365971,97.83448171841681,98.76425855513308
417659.txt,79,51,31,28,48,23,0.5490196078431373,0.3924050632911392,0.6455696202531646,5.737948294722722,0.899844961075434,0.05277909415619571,0.6559999999999998,0.7,0.7444549519048183,48.10475590856258,28.69642857142857,42.89873417721519
419082.txt,550,245,281,179,269,66,0.7306122448979592,0.5109090909090909,0.44545454545454544,10.446835101424911,0.8718430204599935,0.046766429871244145,0.7978043912175632,0.8018181818181819,0.8266021611787369,87.70369510319003,79.34503722084366,88.64
424058.txt,477,209,335,177,142,32,0.84688995215311,0.7023060796645703,0.4381551362683438,9.569452621758668,0.8662051021440116,0.04995108448870743,0.8270093457943909,0.8266666666666667,0.8336100658528608,95.4,102.6045667228149,101.0125786163522
432971.txt,141,78,54,45,87,33,0.5769230769230769,0.3829787234042553,0.5531914893617021,6.568784984318848,0.8803637523736612,0.055664984050196355,0.6969565217391306,0.72,0.7625568729490736,49.560544223683515,39.126666666666665,50.12765957446808
437622.txt,319,163,147,112,172,51,0.6871165644171779,0.4608150470219436,0.5109717868338558,9.126247928580426,0.883535360752613,0.04651532575605771,0.7429629629629633,0.7466666666666666,0.8242937568483973,59.219078947368416,65.29163325314087,90.13166144200628
438914.txt,550,245,281,179,269,66,0.7306122448979592,0.5109090909090909,0.44545454545454544,10.446835101424911,0.8718430204599935,0.046766429871244145,0.7978043912175632,0.8018181818181819,0.8266021611787369,87.70369510319003,79.34503722084366,88.64
442123.txt,645,300,365,230,280,70,0.7666666666666667,0.5658914728682171,0.46511627906976744,11.812488464372366,0.8816759586265773,0.042114798541942826,0.7716107382550321,0.7633333333333335,0.8329236108892776,68.79540598290599,68.4427192982456,68.65116279069767
457685.txt,81,52,34,28,47,24,0.5384615384615384,0.41975308641975306,0.6419753086419753,5.777777777777778,0.8991442566539269,0.05284597067748109,0.6862499999999999,0.72,0.7537718519876195,36.263598326359826,28.114837398373982,33.53086419753087
459368.txt,457,208,275,162,182,46,0.7788461538461539,0.6017505470459519,0.4551422319474836,9.72982961027975,0.8714798364331509,0.04831737314261032,0.8060294117647064,0.8044444444444445,0.8253509492894578,90.02349397590362,81.94157088122606,87.527352297593
461802.txt,336,177,176,130,160,47,0.7344632768361582,0.5238095238095238,0.5267857142857143,9.656141642942663,0.8898144783959347,0.043614696802682186,0.7864808362369345,0.7999999999999999,0.8223848078866065,76.60256941566516,60.680763251406574,62.654761904761905
